ProblemNo,Connection,Cost
0,19269 : 27 -> 28,1
1,19269 : 7 -> 21 ; 23010 : 7 -> 9 ; 19269 : 22 -> 23 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 23,26
2,23010 : 64 -> 68,4
3,14313 : 11 -> 27 ; 19269 : 22 -> 23 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 19 ; 14266 : 31 -> 34 ; 14204 : 4 -> 5 ; 14266 : 36 -> 39 ; 14204 : 9 -> 10 ; 14266 : 41 -> 47 ; 14204 : 15 -> 16 ; 23010 : 38 -> 56,55
4,23010 : 42 -> 49,7
5,23010 : 59 -> 71,12
6,23010 : 7 -> 9 ; 19269 : 22 -> 23 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 19 ; 14266 : 31 -> 34 ; 14204 : 4 -> 5 ; 14266 : 36 -> 39 ; 14204 : 9 -> 10 ; 14266 : 41 -> 43,18
7,54253 : 2 -> 5 ; 14307 : 4 -> 5 ; 54253 : 7 -> 9 ; 14203 : 7 -> 10 ; 54253 : 16 -> 17 ; 14307 : 15 -> 17 ; 14203 : 12 -> 13 ; 54253 : 21 -> 23 ; 14203 : 14 -> 15 ; 54253 : 25 -> 31 ; 14307 : 30 -> 40 ; 15043 : 2 -> 5,35
8,19269 : 1 -> 21 ; 23010 : 7 -> 9 ; 19269 : 22 -> 23 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 18,27
9,14308 : 32 -> 34 ; 14266 : 41 -> 47 ; 14204 : 15 -> 16 ; 23010 : 38 -> 65,36
10,18304 : 6 -> 7 ; 22910 : 5 -> 6 ; 22803 : 8 -> 9 ; 18304 : 9 -> 11 ; 22805 : 5 -> 6 ; 22910 : 7 -> 8 ; 22844 : 18 -> 20 ; 58113 : 42 -> 46 ; 12834 : 14 -> 15 ; 58113 : 49 -> 50 ; 18507 : 23 -> 24 ; 22647 : 4 -> 5 ; 18517 : 5 -> 6 ; 58111 : 58 -> 60 ; 28242 : 17 -> 18 ; 18242 : 28 -> 29 ; 58111 : 64 -> 67 ; 28242 : 19 -> 20 ; 58111 : 73 -> 74 ; 22647 : 9 -> 10 ; 58111 : 77 -> 82 ; 18239 : 25 -> 26 ; 58111 : 84 -> 87 ; 18239 : 27 -> 28 ; 58111 : 89 -> 90 ; 22647 : 13 -> 14 ; 02512 : 22 -> 23 ; 21068 : 18 -> 19 ; 51118 : 13 -> 14 ; 18520 : 2 -> 3 ; 17411 : 7 -> 8 ; 11046 : 36 -> 37 ; 17415 : 30 -> 31 ; 17411 : 15 -> 17,49
11,58840 : 27 -> 29 ; 58838 : 2 -> 3 ; 58840 : 31 -> 32 ; 58838 : 4 -> 6 ; 58840 : 37 -> 39 ; 58838 : 8 -> 9 ; 58832 : 16 -> 17 ; 58838 : 11 -> 12 ; 58840 : 49 -> 52 ; 22940 : 5 -> 6 ; 18502 : 18 -> 19 ; 22815 : 9 -> 10 ; 22647 : 19 -> 20 ; 17036 : 2 -> 3 ; 17234 : 12 -> 13 ; 17006 : 27 -> 28 ; 15023 : 19 -> 20 ; 22684 : 21 -> 22 ; 57305 : 22 -> 30 ; 17023 : 12 -> 14 ; 22684 : 23 -> 25 ; 18463 : 34 -> 35 ; 57274 : 41 -> 43 ; 56501 : 52 -> 53 ; 57274 : 45 -> 48 ; 18111 : 32 -> 34 ; 56910 : 14 -> 18 ; 17302 : 10 -> 11 ; 17315 : 11 -> 12 ; 17302 : 13 -> 14 ; 16523 : 9 -> 11 ; 16515 : 7 -> 8 ; 16523 : 13 -> 15 ; 56641 : 29 -> 30 ; 16860 : 1 -> 2 ; 16630 : 3 -> 4,59
12,57229 : 8 -> 11 ; 18520 : 16 -> 18 ; 57264 : 10 -> 12 ; 57271 : 17 -> 20 ; 18646 : 14 -> 15 ; 57271 : 22 -> 23 ; 57257 : 81 -> 83 ; 18646 : 16 -> 17 ; 18568 : 32 -> 33 ; 57271 : 39 -> 40 ; 22870 : 10 -> 11 ; 57264 : 25 -> 26 ; 02509 : 5 -> 6 ; 19454 : 10 -> 11 ; 22847 : 4 -> 5 ; 12890 : 15 -> 16 ; 58530 : 35 -> 36 ; 22828 : 9 -> 12 ; 22866 : 8 -> 9 ; 18478 : 53 -> 54 ; 18418 : 13 -> 14 ; 58114 : 32 -> 35 ; 22843 : 6 -> 7 ; 18478 : 56 -> 57 ; 58114 : 41 -> 44 ; 18478 : 58 -> 59 ; 18029 : 67 -> 68 ; 58114 : 49 -> 51 ; 18478 : 60 -> 62 ; 58012 : 5 -> 6 ; 18615 : 8 -> 9 ; 58012 : 9 -> 12 ; 22891 : 8 -> 9 ; 22843 : 10 -> 12 ; 15233 : 4 -> 5 ; 53049 : 34 -> 36 ; 83131 : 6 -> 7 ; 53049 : 37 -> 39 ; 83131 : 8 -> 9 ; 18603 : 15 -> 16 ; 18629 : 11 -> 12 ; 13185 : 13 -> 14 ; 13021 : 25 -> 26,63
13,24227 : 6 -> 7 ; 18206 : 9 -> 10 ; 22684 : 4 -> 5 ; 18609 : 18 -> 19 ; 22351 : 5 -> 6 ; 22684 : 7 -> 8 ; 22182 : 13 -> 15 ; 12321 : 29 -> 30 ; 11272 : 31 -> 33 ; 12187 : 2 -> 3 ; 22188 : 6 -> 7 ; 22938 : 7 -> 8 ; 22112 : 11 -> 13 ; 11078 : 50 -> 51 ; 22112 : 15 -> 16 ; 21068 : 14 -> 15 ; 22112 : 18 -> 19 ; 59026 : 11 -> 12 ; 59078 : 3 -> 5 ; 22940 : 11 -> 12 ; 19048 : 35 -> 36 ; 59014 : 24 -> 25 ; 59078 : 19 -> 20 ; 59075 : 14 -> 15,28
14,24888 : 8 -> 10 ; 22631 : 31 -> 32 ; 54704 : 28 -> 30 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 17307 : 9 -> 10 ; 16534 : 2 -> 3 ; 57477 : 20 -> 24 ; 22691 : 4 -> 5 ; 17430 : 18 -> 19 ; 16229 : 15 -> 16 ; 17430 : 21 -> 22 ; 17307 : 21 -> 22 ; 22882 : 11 -> 12 ; 17320 : 10 -> 11 ; 17307 : 25 -> 26 ; 57130 : 33 -> 34,22
15,22202 : 2 -> 3 ; 22213 : 3 -> 4 ; 12041 : 2 -> 3 ; 53047 : 14 -> 15 ; 13187 : 7 -> 8 ; 15941 : 9 -> 10 ; 13403 : 15 -> 17 ; 15657 : 8 -> 9 ; 13011 : 15 -> 16 ; 53003 : 37 -> 38 ; 15959 : 12 -> 13 ; 22511 : 20 -> 21 ; 02509 : 15 -> 16 ; 22412 : 13 -> 14 ; 15615 : 2 -> 4 ; 15617 : 5 -> 7,19
16,18478 : 58 -> 59 ; 18029 : 67 -> 68 ; 58114 : 49 -> 51 ; 18478 : 60 -> 62 ; 58012 : 5 -> 6 ; 18615 : 8 -> 9 ; 58012 : 9 -> 12 ; 22891 : 8 -> 9 ; 15021 : 4 -> 5 ; 58013 : 29 -> 32 ; 12815 : 17 -> 18 ; 22805 : 12 -> 13 ; 28624 : 17 -> 19 ; 18626 : 15 -> 17 ; 12875 : 19 -> 21 ; 23348 : 11 -> 13 ; 13167 : 6 -> 7 ; 19322 : 3 -> 4 ; 13049 : 59 -> 61 ; 14235 : 2 -> 3 ; 13307 : 19 -> 20 ; 24227 : 2 -> 3 ; 19408 : 2 -> 3 ; 19314 : 6 -> 7 ; 84369 : 35 -> 36 ; 14257 : 17 -> 18 ; 14673 : 30 -> 31 ; 54075 : 7 -> 9 ; 14307 : 37 -> 38 ; 15273 : 34 -> 35 ; 22407 : 7 -> 8 ; 54077 : 18 -> 19 ; 54078 : 16 -> 18,46
17,59811 : 35 -> 38 ; 59801 : 4 -> 5 ; 29019 : 14 -> 16 ; 59811 : 47 -> 49 ; 29019 : 17 -> 18 ; 12941 : 18 -> 19 ; 12316 : 11 -> 12 ; 22412 : 3 -> 4 ; 15904 : 6 -> 7 ; 19409 : 26 -> 28 ; 19039 : 64 -> 66 ; 15008 : 16 -> 17,18
18,16031 : 44 -> 45 ; 22911 : 8 -> 9 ; 11272 : 11 -> 14 ; 18208 : 12 -> 13 ; 08892 : 17 -> 18 ; 11651 : 4 -> 5 ; 11447 : 4 -> 5 ; 19608 : 13 -> 15 ; 23347 : 3 -> 4 ; 19608 : 16 -> 18 ; 12878 : 13 -> 14 ; 18632 : 31 -> 32 ; 12874 : 14 -> 15 ; 18632 : 34 -> 35 ; 11447 : 26 -> 27 ; 28624 : 3 -> 4 ; 11447 : 28 -> 29 ; 13026 : 20 -> 21 ; 28624 : 10 -> 12 ; 58014 : 4 -> 9 ; 13302 : 8 -> 12,33
19,53049 : 38 -> 39 ; 83131 : 8 -> 9 ; 18603 : 15 -> 16 ; 18629 : 11 -> 12 ; 15651 : 15 -> 17 ; 15279 : 7 -> 8 ; 22411 : 10 -> 11 ; 19054 : 4 -> 5 ; 19052 : 5 -> 6 ; 19422 : 7 -> 8 ; 22132 : 2 -> 4 ; 22857 : 9 -> 10 ; 19168 : 14 -> 15 ; 13007 : 63 -> 64 ; 18109 : 35 -> 38 ; 12419 : 7 -> 8 ; 19040 : 43 -> 44 ; 14865 : 12 -> 13 ; 19040 : 46 -> 48 ; 12987 : 18 -> 19 ; 19716 : 10 -> 11 ; 12987 : 20 -> 21 ; 22981 : 10 -> 12 ; 22631 : 27 -> 28 ; 22981 : 15 -> 16 ; 22482 : 16 -> 18 ; 24888 : 8 -> 10 ; 22631 : 31 -> 32 ; 54704 : 28 -> 30 ; 54702 : 2 -> 4 ; 54704 : 31 -> 32 ; 54702 : 5 -> 7 ; 24888 : 14 -> 15,44
20,13346 : 4 -> 8 ; 14203 : 1 -> 2,170
21,14266 : 2 -> 12 ; 23010 : 3 -> 9 ; 15043 : 2 -> 8,378
22,14313 : 26 -> 27 ; 19269 : 22 -> 23 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 19 ; 14266 : 31 -> 34 ; 14204 : 4 -> 5 ; 14266 : 36 -> 39 ; 14204 : 9 -> 10 ; 14308 : 34 -> 37,458
23,19269 : 29 -> 31,59
24,23010 : 61 -> 70,252
25,14313 : 11 -> 27 ; 19269 : 22 -> 23 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 19 ; 14266 : 31 -> 34 ; 14308 : 21 -> 22,1191
26,14313 : 6 -> 27 ; 19269 : 22 -> 23 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 19 ; 19269 : 24 -> 29,1864
27,14313 : 26 -> 27 ; 19269 : 22 -> 23 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 19 ; 14266 : 31 -> 34 ; 14204 : 4 -> 5 ; 14266 : 36 -> 39 ; 14204 : 9 -> 10 ; 14266 : 41 -> 47 ; 14204 : 15 -> 16 ; 23010 : 38 -> 44,620
28,19269 : 20 -> 21,161
29,23010 : 44 -> 60,329
30,15901 : 8 -> 9 ; 22879 : 17 -> 18 ; 12764 : 15 -> 16 ; 57258 : 85 -> 87 ; 17488 : 31 -> 32 ; 12245 : 6 -> 7 ; 56214 : 13 -> 17 ; 17210 : 27 -> 28 ; 12657 : 6 -> 7 ; 11013 : 24 -> 25 ; 54702 : 3 -> 4 ; 54703 : 30 -> 33 ; 24887 : 30 -> 32 ; 25631 : 2 -> 4 ; 24887 : 34 -> 35 ; 19224 : 44 -> 46 ; 54811 : 97 -> 98 ; 24887 : 36 -> 37 ; 22932 : 7 -> 9 ; 22475 : 8 -> 9 ; 22932 : 11 -> 14 ; 22475 : 11 -> 12 ; 19574 : 12 -> 13,1396
31,59393 : 7 -> 9 ; 19039 : 13 -> 14 ; 22655 : 24 -> 25 ; 22941 : 6 -> 7 ; 29019 : 14 -> 16 ; 59811 : 47 -> 49 ; 22941 : 8 -> 9 ; 29019 : 23 -> 25 ; 19023 : 66 -> 67 ; 12964 : 17 -> 18 ; 13007 : 90 -> 91 ; 14003 : 23 -> 24 ; 22685 : 14 -> 15 ; 22941 : 11 -> 12 ; 22685 : 16 -> 17 ; 22455 : 14 -> 15 ; 52457 : 1 -> 2,1083
32,57515 : 31 -> 35 ; 18504 : 7 -> 8 ; 17687 : 15 -> 16 ; 57550 : 11 -> 14 ; 12729 : 13 -> 14 ; 18504 : 9 -> 10 ; 22458 : 25 -> 26 ; 18504 : 11 -> 12 ; 19713 : 28 -> 29 ; 57564 : 12 -> 13 ; 19301 : 23 -> 24 ; 57620 : 2 -> 3 ; 57651 : 3 -> 6 ; 12748 : 7 -> 8 ; 57620 : 7 -> 8 ; 22881 : 6 -> 7 ; 22884 : 11 -> 13 ; 57271 : 9 -> 10 ; 17487 : 18 -> 19 ; 18646 : 12 -> 13 ; 57265 : 18 -> 19,987
33,53140 : 3 -> 4 ; 18630 : 16 -> 17 ; 19607 : 8 -> 10 ; 84369 : 2 -> 3 ; 19607 : 11 -> 12 ; 84369 : 9 -> 10 ; 19607 : 13 -> 14 ; 11448 : 37 -> 39 ; 11652 : 5 -> 6 ; 19607 : 15 -> 16 ; 18236 : 35 -> 37 ; 11271 : 25 -> 27 ; 22181 : 4 -> 5 ; 22830 : 14 -> 15 ; 18236 : 51 -> 54 ; 11271 : 34 -> 35 ; 22912 : 26 -> 28 ; 18236 : 61 -> 63 ; 22912 : 29 -> 30 ; 19414 : 16 -> 17 ; 22910 : 19 -> 20 ; 19020 : 60 -> 61 ; 59394 : 41 -> 43 ; 19040 : 75 -> 76 ; 22926 : 22 -> 23 ; 22996 : 9 -> 10 ; 19310 : 9 -> 10 ; 19024 : 66 -> 67,1781
34,16228 : 2 -> 5 ; 16580 : 1 -> 4 ; 18112 : 6 -> 7 ; 16229 : 9 -> 10 ; 18112 : 10 -> 11 ; 56503 : 37 -> 45 ; 22884 : 6 -> 7 ; 57305 : 49 -> 54 ; 22832 : 7 -> 8 ; 22884 : 8 -> 10 ; 57305 : 72 -> 73 ; 56503 : 69 -> 70 ; 57305 : 75 -> 77 ; 57651 : 29 -> 30 ; 22884 : 11 -> 13 ; 18504 : 20 -> 21 ; 18646 : 14 -> 15 ; 57271 : 22 -> 23 ; 57257 : 81 -> 83 ; 18646 : 16 -> 17 ; 18568 : 32 -> 33 ; 57271 : 39 -> 40 ; 22870 : 10 -> 11 ; 57264 : 25 -> 26 ; 02509 : 5 -> 6 ; 22884 : 19 -> 20 ; 22810 : 4 -> 6 ; 22874 : 3 -> 4 ; 22884 : 23 -> 24 ; 22880 : 17 -> 18 ; 18646 : 38 -> 39 ; 18448 : 36 -> 38 ; 18646 : 40 -> 41,1616
